id,comment_text,label,gpt_zeroshot,distilBERT
c808bb3b0fda7b9e,Fair enough  Its not really the freeness or otherwise of the image but the lack of information it provides  I suck and suck hard at creating graphics but itd be nice of someone could create something after reading the clayton FIPR document to show the flow of information from users websites ISPs and phorm      ,1,0,1
9851e54ff65af090,Why did you remove the section I created about you claiming I was using explicatives  Nice to see what a hypocrite you are,1,1,1
b700358de5384110,tommy y dont u suk my fat dik u bitch,1,1,1
825a091f28fa007d, AND FOR THE LAST FUCKING TIME There is no dispute here about the overlap of kurgan burials But the identification of kurgan burials as IndoEuropean Amateurs like AnonMoos and other neonazis have trouble understanding that archaeology and linguistics more often than not move in different directions over time The whole Kurgan Hypothesis aka Kurgan Pseudotheory RESTS OF THE UNPROVEDUNPROVABLE ASSUMPTION that there is a onetoone correspondence between burial practices and ones mother language Why on earth would there be Fuck off AnonMoos you troll Lol,1,1,1
e82e6daeba6eed92,I hate you guys so much,1,1,1
6d36fa82ca88f214,Hmm I honestly dont know whether the bot will follow redirects or not If the report is to be renamed its probably best that I move it and then update the script accordingly Ill reply further at Wikipedia talkDatabase reportsArticles containing bullshit template parameters,0,0,1
35b31097a877cf8b, penis     im da real nigga in dis hood,1,1,1
abe1ba4d9c273814,If you deny you are SquealingPig you are a liar un mentiroso Stop using wikipedia as a platform to attack me and take responsibilty for your actions as SquealingPig who appeared minutes after you engaged me in an edit war,1,1,1
14dabf20b28b2991,REDIRECT TalkEastern Suburbs season ,0,0,0
c07accf37e49981a,Jeff G has a vagina and likes to get pounded in the ass by big dildos,1,1,1
46df3a28f8cb1c52, mike faulk is a bitch     u aint bout shit u little skint head bitch wait till i c u im gona fuck u up u little country ass nigga fuck u and jenna is my girl a always will be u got that u little bitch,1,1,1
be56dd7e6b96104d, because we´re going to send a ninja to kill ya nigga,1,1,1
2ad87a65b3f9a75e,At the same time it could just as easily strengthen once more To add to Erics point Tropical Depression Ten in the  AHS was as good as dead until,0,0,0
54aa2ed3ab4055d3, No your moron,1,1,1
9f84f98b206abbfd,GO  YOURSELF AND DIE YOU FUKING PIECE OF SHlT IM GOING TO FUKING KILL YOU  YOU HEAR ME IM GOING TO FUKING KILL YOU AND CHOP YOUR HEAD OFF AND STICK MY FUKING COK DOWN YOUR THROAT,1,1,1
573d22c1477dc36f,that was noy me you jerk jezes,0,1,1
b1ab7d5763d138a5,     Im sorry but it was a rant and you attacked editors by claiming they were Stupid liberals If you wish to see something mentioned or added to the article please state your case providing reliable sources and explain in a calm way why you think its inclusion is justified   ,1,0,1
5773fe77f5cb5edf,As a Indian its shame on us they are hiding the truth if Indians are  to  die in that action how many Pakistanis are die in kargil war they die first you find how many Pakistanis are die   ,0,1,1
4e4611e64c03837d, Cleanup    I started tacking a crack at cleaning this page up Started with the description Please let me know if this looks okay If so Ill add more citations and proceed to fixing the main body,0,0,0
f1da8cf774610b6d,But you izz killer doggie Why are you talking like a gag kitten    ,1,1,1
07e974f96b296e08,Good Bye  RIP  Hope to see you in hell  VelupillaiSOB,1,1,1
59ad0577231af634, User  linked to sockpuppets ranged block     Hello    The recent vandalism done by  on multiple talk pages including yours are disturbing thus should be removed or made inaccessable permanenlty from these pages edit histories Also based on those edits I think they are linked to those sockpuppets whom you blocked last week as they both have similar language and targets,0,1,0
